OKRES|PS|P_HL_PS
802|10|64
802|1|37
802|5|20
802|20|16
802|21|14
802|16|12
802|14|10
802|13|5
802|23|3
803|11|11393
803|19|5561
803|6|3842
803|4|3355
803|3|3274
803|12|3246
803|24|2142
803|15|1880
803|17|1417
803|2|1173
803|9|738
803|22|378
803|18|329
803|25|257
803|7|158
803|10|73
803|1|62
803|20|27
803|21|17
803|5|12
803|23|12
803|14|12
803|13|7
803|16|6
804|11|4125.0
804|19|2374.0
804|4|1418.0
804|6|1253.0
804|3|1036.0
804|12|1005.0
804|24|836.0
804|2|578.0
804|15|552.0
804|17|532.0
804|9|327.0
804|18|116.0
804|22|106.0
804|25|90.0
804|7|66.0
804|20|13.0
804|1|12.0
804|10|8.0
804|21|7.0
804|23|5.0
804|5|5.0
804|14|4.0
804|13|1.0
804|16|0.0
805|11|8431
805|19|4651
805|6|2874
805|4|2571
805|3|2361
805|12|2360
805|24|1730
805|15|1479
805|17|1115
805|2|933
805|9|603
805|22|384
805|18|316
805|25|150
805|7|131
805|1|38
805|10|35
805|20|21
805|5|9
805|23|8
805|21|8
805|14|6
805|13|6
805|16|4
806|11|17121
806|19|8926
806|4|5407
806|24|4442
806|22|3878
806|6|3288
806|3|2585
806|12|2552
806|15|2498
806|2|1711
806|17|1645
806|9|1280
806|18|1276
806|7|754
806|1|353
806|25|288
806|10|69
806|20|62
806|21|40
806|13|30
806|5|26
806|14|21
806|16|18
806|23|17
807|19|10870
807|11|10765
807|4|3582
807|24|3549
807|22|2329
807|18|1975
807|6|1932
807|15|1715
807|9|1690
807|12|1576
807|2|1551
807|3|1527
807|17|1446
807|7|280
807|25|272
807|1|242
807|10|41
807|20|39
807|5|30
807|21|21
807|23|19
807|14|17
807|13|17
807|16|9
808|11|6470
808|22|4269
808|19|3580
808|24|2467
808|18|1568
808|4|1557
808|6|1364
808|12|1117
808|3|980
808|9|841
808|2|742
808|17|533
808|15|262
808|1|157
808|25|106
808|7|96
808|10|32
808|20|28
808|5|18
808|21|16
808|14|14
808|23|14
808|13|13
808|16|10
809|19|3254
809|11|1857
809|24|1070
809|4|1058
809|9|550
809|15|473
809|17|425
809|2|388
809|6|329
809|12|255
809|3|235
809|18|106
809|25|80
809|7|66
809|1|61
809|10|18
809|20|13
809|13|9
809|21|9
809|5|8
809|16|5
809|22|5
809|23|2
809|14|1
810|11|11425
810|19|7612
810|24|4992
810|4|3813
810|15|3223
810|6|2502
810|12|2054
810|3|1775
810|9|1409
810|2|1367
810|17|1337
810|20|272
810|1|269
810|25|243
810|10|193
810|18|162
810|7|154
810|5|36
810|21|34
810|13|24
810|14|17
810|23|15
810|16|14
810|22|11
811|11|9566
811|19|8293
811|22|4741
811|18|3433
811|4|3177
811|24|2822
811|6|1747
811|15|1463
811|12|1260
811|2|1165
811|3|1032
811|17|952
811|9|903
811|1|355
811|25|199
811|7|182
811|5|93
811|10|56
811|20|35
811|21|25
811|14|22
811|16|20
811|23|14
811|13|10
900|12|1274.0
900|6|1037.0
900|11|540.0
900|3|335.0
900|24|173.0
900|15|108.0
900|19|91.0
900|17|78.0
900|4|56.0
900|22|31.0
900|25|26.0
900|2|26.0
900|9|14.0
900|18|14.0
900|10|7.0
900|7|7.0
900|1|2.0
900|13|2.0
900|16|1.0
900|5|1.0
900|23|1.0
900|21|1.0
900|14|0.0
900|20|0.0
